Key,Value,Category,Comment,Group
amenity,embassy,Others,"An embassy, consulate or diplomatic office. Also see office=diplomatic",
amenity,fire_station,Others,A station of a fire brigade,
amenity,firepit,Others,"Deprecated. For campfires and firepits, see Tag:leisure=firepit",
amenity,give_box,Others,A small facility where people drop off and pick up various types of items in the sense of free sharing and reuse.,
amenity,grave_yard,Others,"A (smaller) place of burial, often you'll find a church nearby. Large places should be landuse=cemetery instead.",
amenity,gym,Others,Deprecated. Use leisure=fitness_centre or leisure=sports_centre instead. A place which houses exercise equipment for the purpose of physical exercise.,36
amenity,hunting_stand,Others,A hunting stand: an open or enclosed platform used by hunters to place themselves at an elevated height above the terrain,
amenity,internet_cafe,Others,A place whose principal role is providing internet services to the public.,
amenity,kitchen,Others,A public kitchen in a facility to use by everyone or customers,
amenity,kneipp_water_cure,Others,Outdoor foot bath facility. Usually this is a pool with cold water and handrail. Popular in German speaking countries.,
amenity,marketplace,Others,A marketplace where goods and services are traded daily or weekly.,35
amenity,monastery,Others,Monastery is the location of a monastery or a building in which monks and nuns live.,
amenity,photo_booth,Others,Photo Booth – A stand to create instant photo.,
amenity,place_of_worship,Others,"A church, mosque, or temple, etc. Note that you also need religion=*, usually denomination=* and preferably name=* as well as amenity=place_of_worship. See the article for details.",36
amenity,police,Others,A police station where police officers patrol from and that is a first point of contact for civilians,37
amenity,post_box,Others,A box for the reception of mail. Alternative mail-carriers can be tagged via operator=*,38
amenity,post_depot,Others,"Post depot or delivery office, where letters and parcels are collected and sorted prior to delivery.",39
amenity,post_office,Others,Post office building with postal services,40
amenity,prison,Others,A prison or jail where people are incarcerated before trial or after conviction,41
amenity,public_bath,Others,"A location where the public may bathe in common, etc. japanese onsen, turkish bath, hot spring",
amenity,public_building,Others,A generic public building. Don't use! See office=government.,
amenity,ranger_station,Others,"National Park visitor headquarters: official park visitor facility with police, visitor information, permit services, etc",
amenity,recycling,Others,"Recycling facilities (bottle banks, etc.). Combine with recycling_type=container for containers or recycling_type=centre for recycling centres.",
amenity,refugee_site,Others,A human settlement sheltering refugees or internally displaced persons,
amenity,sanitary_dump_station,Others,A place for depositing human waste from a toilet holding tank.,
amenity,sauna,Others,Deprecated. For sauna use: leisure=sauna,
amenity,shelter,Others,A small shelter against bad weather conditions. To additionally describe the kind of shelter use shelter_type=*.,
amenity,shower,Others,Public shower or bath.,
amenity,telephone,Others,Public telephone,
amenity,toilets,Others,Public toilets (might require a fee),
amenity,townhall,Others,"Building where the administration of a village, town or city may be located, or just a community meeting place",
amenity,vending_machine,Others,"A machine selling goods – food, tickets, newspapers, etc. Add type of goods using vending=*",
amenity,waste_basket,Others,A single small container for depositing garbage that is easily accessible for pedestrians.,
amenity,waste_disposal,Others,"A place where canal boaters, caravaners, etc. can dispose of rubbish (trash/waste).",
amenity,waste_transfer_station,Others,"A waste transfer station is a location that accepts, consolidates and transfers waste in bulk.",
amenity,watering_place,Others,Place where water is contained and animals can drink,
amenity,water_point,Others,Place where you can get large amounts of drinking water,
